"id","fr_stid","to_stid","trf_type"
1846,32,274,"road"
1849,132,274,"road"
1852,277,274,"road"
1855,274,32,"road"
1858,274,132,"road"
1861,274,277,"road"
1867,274,33,"road"
1870,274,34,"road"
1873,274,35,"road"
1876,274,36,"road"
1879,274,37,"road"
1882,274,39,"road"
1885,274,96,"road"
1888,274,194,"road"
1891,274,226,"road"
1897,274,235,"road"
1900,274,271,"road"
1903,274,280,"road"
1906,274,283,"road"
1909,274,313,"road"
1915,33,274,"road"
1918,34,274,"road"
1921,35,274,"road"
1924,36,274,"road"
1927,37,274,"road"
1930,39,274,"road"
1933,96,274,"road"
1936,194,274,"road"
1939,226,274,"road"
1945,235,274,"road"
1948,271,274,"road"
1951,280,274,"road"
1954,283,274,"road"
1957,313,274,"road"
2056,26,286,"road"
2059,72,286,"road"
2062,87,286,"road"
2065,176,286,"road"
2068,289,286,"road"
2071,292,286,"road"
2074,286,26,"road"
2077,286,72,"road"
2080,286,87,"road"
2083,286,176,"road"
2086,286,289,"road"
2089,286,292,"road"
2095,286,25,"road"
2098,286,89,"road"
2104,286,179,"road"
2107,286,202,"road"
2110,286,298,"road"
2116,25,286,"road"
2119,89,286,"road"
2125,179,286,"road"
2128,202,286,"road"
2131,298,286,"road"
2932,44,241,"road"
2935,80,241,"road"
2938,81,241,"road"
2941,337,241,"road"
2944,241,44,"road"
2947,241,80,"road"
2950,241,81,"road"
2953,241,337,"road"
2965,241,42,"road"
2968,241,43,"road"
2971,241,46,"road"
2977,241,82,"road"
2980,241,83,"road"
2983,241,84,"road"
2986,241,198,"road"
2989,241,238,"road"
2992,241,319,"road"
2995,241,325,"road"
3007,42,241,"road"
3010,43,241,"road"
3013,46,241,"road"
3019,82,241,"road"
3022,83,241,"road"
3025,84,241,"road"
3028,198,241,"road"
3031,238,241,"road"
3034,319,241,"road"
3037,325,241,"road"
3046,31,229,"road"
3049,71,229,"road"
3052,229,31,"road"
3055,229,71,"road"
3061,229,30,"road"
3064,229,38,"road"
3067,229,110,"road"
3070,229,136,"road"
3073,229,144,"road"
3076,229,188,"road"
3079,229,232,"road"
3082,229,274,"road"
3088,30,229,"road"
3091,38,229,"road"
3094,110,229,"road"
3097,136,229,"road"
3100,144,229,"road"
3103,188,229,"road"
3106,232,229,"road"
3109,274,229,"road"
3112,229,274,"fly"
3115,274,229,"fly"
3118,60,262,"road"
3121,73,262,"road"
3124,156,262,"road"
3127,259,262,"road"
3130,316,262,"road"
3133,262,60,"road"
3136,262,73,"road"
3139,262,156,"road"
3142,262,259,"road"
3145,262,316,"road"
3154,262,58,"road"
3157,262,59,"road"
3160,262,61,"road"
3163,262,62,"road"
3166,262,85,"road"
3169,262,86,"road"
3175,262,152,"road"
3178,262,195,"road"
3181,262,201,"road"
3184,262,250,"road"
3187,262,256,"road"
3190,262,265,"road"
3202,58,262,"road"
3205,59,262,"road"
3208,61,262,"road"
3211,62,262,"road"
3214,85,262,"road"
3217,86,262,"road"
3223,152,262,"road"
3226,195,262,"road"
3229,201,262,"road"
3232,250,262,"road"
3235,256,262,"road"
3238,265,262,"road"
4246,45,247,"road"
4249,74,247,"road"
4252,78,247,"road"
4255,244,247,"road"
4258,328,247,"road"
4261,331,247,"road"
4264,334,247,"road"
4267,247,45,"road"
4270,247,74,"road"
4273,247,78,"road"
4276,247,244,"road"
4279,247,328,"road"
4282,247,331,"road"
4285,247,334,"road"
5437,521,274,"fly"
5445,274,521,"fly"
5501,533,262,"fly"
5509,262,533,"fly"
9797,513,262,"fly"
9805,262,513,"fly"
18401,3,77,"road"
18409,77,3,"road"
24409,617,657,"road"
24593,657,617,"road"
25837,741,262,"road"
25841,262,741,"road"
25845,741,262,"road"
25849,262,741,"road"
25853,757,262,"road"
25857,262,757,"road"
25861,761,262,"road"
25865,262,761,"road"
25877,765,262,"road"
25881,262,765,"road"
25885,79,241,"road"
25889,241,79,"road"
25893,79,241,"road"
25897,241,79,"road"
25901,773,241,"road"
25905,241,773,"road"
25925,781,241,"road"
25929,241,781,"road"
25933,781,241,"road"
25937,241,781,"road"
25949,789,247,"road"
25953,247,789,"road"
25989,797,286,"road"
25993,286,797,"road"
26005,801,286,"road"
26009,286,801,"road"
26013,801,286,"road"
26017,286,801,"road"
26069,837,274,"road"
26073,274,837,"road"
26077,841,274,"road"
26081,274,841,"road"
26085,845,274,"road"
26089,274,845,"road"
26093,849,274,"road"
26097,274,849,"road"
26165,14,471,"road"
26169,14,537,"road"
26193,471,14,"road"
26197,537,14,"road"
28373,20,106,"road"
28377,20,549,"road"
28381,20,637,"road"
28389,106,20,"road"
28393,549,20,"road"
28397,637,20,"road"
28541,853,274,"road"
28545,274,853,"road"
28549,853,274,"road"
28553,274,853,"road"
28741,1181,229,"road"
28745,229,1181,"road"
29708,869,77,"road"
29712,77,869,"road"
31136,5,1268,"road"
31144,1081,1268,"road"
31148,1085,1268,"road"
31152,1268,5,"road"
31160,1268,1081,"road"
31164,1268,1085,"road"
31168,1268,63,"road"
31172,1268,64,"road"
31176,1268,65,"road"
31180,1268,66,"road"
31184,1268,67,"road"
31188,1268,76,"road"
31192,1268,111,"road"
31196,1268,120,"road"
31200,1268,349,"road"
31204,1268,370,"road"
31208,1268,373,"road"
31212,1268,376,"road"
31216,1268,677,"road"
31220,1268,681,"road"
31224,1268,717,"road"
31228,1268,721,"road"
31232,1268,893,"road"
31236,1268,897,"road"
31240,1268,965,"road"
31244,1268,985,"road"
31248,1268,1065,"road"
31252,1268,1069,"road"
31256,63,1268,"road"
31260,64,1268,"road"
31264,65,1268,"road"
31268,66,1268,"road"
31272,67,1268,"road"
31276,76,1268,"road"
31280,111,1268,"road"
31284,120,1268,"road"
31288,349,1268,"road"
31292,370,1268,"road"
31296,373,1268,"road"
31300,376,1268,"road"
31304,677,1268,"road"
31308,681,1268,"road"
31312,717,1268,"road"
31316,721,1268,"road"
31320,893,1268,"road"
31324,897,1268,"road"
31328,965,1268,"road"
31332,985,1268,"road"
31336,1065,1268,"road"
31340,1069,1268,"road"
31344,1268,517,"fly"
31348,1268,529,"fly"
31352,517,1268,"fly"
31356,529,1268,"fly"
31376,553,1268,"road"
31380,1268,553,"road"
31388,3,617,"road"
31392,77,617,"road"
31400,158,617,"road"
31404,161,617,"road"
31408,164,617,"road"
31412,167,617,"road"
31416,170,617,"road"
31420,173,617,"road"
31424,205,617,"road"
31432,223,617,"road"
31436,358,617,"road"
31440,361,617,"road"
31444,441,617,"road"
31448,621,617,"road"
31452,625,617,"road"
31456,629,617,"road"
31460,633,617,"road"
31468,673,617,"road"
31472,705,617,"road"
