"id","name","is_main"
1,"Kho Cầu Giấy - Hà Nội",1
2,"Kho Tân Bình - HCM",1
3,"Kho Thanh Liệt - Hà Nội",0
4,"Kho Bình Thạnh - HCM",0
5,"Kho Hải Châu - Đà Nẵng",0
6,"Kho Thủ Đức - HCM",0
7,"Kho Hải Dương",1
8,"Kho Hải Phòng",1
10,"Kho Hạ Long",1
11,"Kho Cẩm Phả",1
12,"Kho Uông Bí",1
13,"Kho Móng Cái",1
14,"Kho Bắc Ninh",1
15,"Kho Bắc giang",1
16,"Kho Việt Trì",1
17,"Kho Vĩnh Yên",1
18,"Kho Thái Nguyên",1
19,"Kho Hưng Yên",1
20,"Kho Nam Định",1
21,"Kho Thái Bình",1
22,"Kho Ninh Bình",1
23,"Kho Phủ Lý",1
24,"Kho LV - Thủ Dầu Một",1
25,"Kho Vũng Tàu",1
26,"Kho LV - Biên Hòa",1
27,"Kho Tân An",1
28,"Kho Tân Hương",1
29,"Kho Bến Tre",1
30,"Kho Cao Lãnh",1
31,"Kho Long Xuyên",1
32,"Kho Bình Thủy",1
33,"Kho Vĩnh Long",1
34,"Kho Vị Thanh",1
35,"Kho Trà Vinh",1
36,"Kho Bạc Liêu",1
37,"Kho Huỳnh Thúc Kháng (MN18)",1
38,"Kho Rạch Giá",1
39,"Kho Sóc Trăng",1
40,"Kho Đồng Xoài",1
41,"Kho Tây Ninh",1
42,"Kho Pleiku",1
43,"Kho KonTum",1
44,"Kho Buôn Ma Thuột",0
45,"Kho Đà Lạt",0
46,"Kho Gia Nghĩa",1
47,"Kho Hòa Bình",1
48,"Kho Sơn La",1
49,"Kho Lai Châu",1
50,"Kho Lào Cai",1
51,"Kho Điện Biên Phủ",1
52,"Kho Lạng Sơn",1
53,"Kho Cao Bằng",1
54,"Kho Bắc Kạn",1
55,"Kho Tuyên Quang",1
56,"Kho Yên Bái",1
57,"Kho Hà Giang",1
58,"Kho Quy Nhơn",1
59,"Kho Tuy Hòa",1
60,"Kho Nha Trang",1
61,"Kho Phan Rang",1
62,"Kho Phan Thiết",1
63,"Kho Đồng Hới",1
64,"Kho Huế",1
65,"Kho Đông Hà",1
66,"Kho Quảng Ngãi",1
67,"Kho Tam Kì",1
68,"Kho Vinh",1
69,"Kho Hà Tĩnh",1
70,"Kho Thanh Hoá",1
71,"Kho Châu Đốc",1
72,"Kho Long Khánh",1
73,"Kho Cam Ranh",0
74,"Kho Bảo Lộc",0
75,"Kho Mộc Châu",0
76,"Kho Hương Thủy",0
